epoch,tr_loss,tr_acc,va_loss,va_acc,lr
1,0.643972,0.674896,0.825153,0.577778,0.0002998
2,0.454716,0.850139,0.699134,0.655556,0.0002992
3,0.359857,0.912031,0.785564,0.672222,0.0002982
4,0.323997,0.929068,0.716026,0.688889,0.0002967
5,0.304067,0.941933,0.785703,0.672222,0.0002949
6,0.297101,0.948192,0.834536,0.683333,0.0002927
7,0.275518,0.960362,0.759519,0.677778,0.0002901
8,0.259814,0.969054,0.794589,0.677778,0.0002871
9,0.267384,0.965925,0.839735,0.627778,0.0002837
10,0.259259,0.968011,0.768108,0.705556,0.00028
11,0.259083,0.966273,0.781787,0.666667,0.0002759
12,0.248586,0.975313,0.798244,0.672222,0.0002714
13,0.246597,0.97427,0.764147,0.677778,0.0002667
14,0.242076,0.979138,0.763218,0.672222,0.0002616
15,0.24319,0.977399,0.815326,0.655556,0.0002562
16,0.243593,0.978095,0.714665,0.716667,0.0002505
17,0.230575,0.985396,0.771107,0.688889,0.0002446
18,0.229428,0.985396,0.867387,0.627778,0.0002384
19,0.235367,0.981919,0.781408,0.672222,0.0002319
20,0.222436,0.988178,0.841169,0.661111,0.0002252
21,0.232062,0.98331,0.799295,0.7,0.0002184
22,0.225116,0.985049,0.802419,0.711111,0.0002113
23,0.226814,0.986092,0.813261,0.677778,0.0002041
24,0.232334,0.983658,0.771768,0.7,0.0001967
25,0.222735,0.989569,0.782016,0.694444,0.0001892
26,0.216009,0.991307,0.868454,0.65,0.0001816
27,0.220096,0.99096,0.822478,0.65,0.0001739
28,0.225514,0.986439,0.83565,0.688889,0.0001661
29,0.214228,0.99235,0.911615,0.633333,0.0001583
30,0.215324,0.991307,0.819917,0.672222,0.0001505
31,0.215277,0.992003,0.869992,0.633333,0.0001427
32,0.215279,0.991655,0.820942,0.7,0.0001349
33,0.220245,0.988526,0.788122,0.683333,0.0001271
34,0.212192,0.99548,0.78746,0.7,0.0001194
35,0.210667,0.993741,0.814015,0.688889,0.0001118
36,0.214159,0.990612,0.802987,0.683333,0.0001043
37,0.213085,0.993046,0.829533,0.666667,9.69e-05
38,0.209815,0.994784,0.868688,0.672222,8.97e-05
39,0.210469,0.994784,0.852657,0.666667,8.26e-05
40,0.212477,0.99235,0.888919,0.655556,7.58e-05
41,0.20992,0.995828,0.817255,0.672222,6.91e-05
42,0.21196,0.994437,0.922599,0.644444,6.26e-05
43,0.211076,0.993046,0.843776,0.65,5.64e-05
44,0.208099,0.99548,0.867093,0.65,5.05e-05
45,0.205416,0.998261,0.869387,0.655556,4.48e-05
46,0.209598,0.994437,0.890198,0.65,3.94e-05
47,0.209073,0.994089,0.897311,0.655556,3.43e-05
48,0.208294,0.996523,0.884872,0.661111,2.96e-05
49,0.211959,0.99548,0.863438,0.666667,2.51e-05
50,0.206848,0.996523,0.85508,0.655556,2.1e-05
51,0.207338,0.996175,0.804585,0.666667,1.73e-05
52,0.207092,0.997218,0.893068,0.638889,1.39e-05
53,0.204115,0.998957,0.88004,0.638889,1.09e-05
54,0.206581,0.997218,0.86927,0.644444,8.3e-06
55,0.204751,0.998261,0.869662,0.644444,6.1e-06
56,0.210434,0.99548,0.8339,0.655556,4.3e-06
57,0.205852,0.997566,0.866089,0.661111,2.8e-06
58,0.207695,0.995828,0.8582,0.655556,1.8e-06
59,0.205057,0.998261,0.838011,0.655556,1.2e-06
60,0.205925,0.997566,0.880713,0.644444,1e-06
