epoch,tr_loss,tr_acc,va_loss,va_acc,lr
1,0.723091,0.575452,0.628785,0.683333,0.0002998
2,0.55613,0.768428,0.582568,0.75,0.0002992
3,0.459793,0.835883,0.54094,0.816667,0.0002982
4,0.404095,0.871001,0.498211,0.8,0.0002967
5,0.363998,0.899513,0.633842,0.705556,0.0002949
6,0.332299,0.922809,0.583446,0.761111,0.0002927
7,0.313788,0.938108,0.745264,0.7,0.0002901
8,0.289373,0.949235,0.731188,0.727778,0.0002871
9,0.291403,0.948192,0.602075,0.788889,0.0002837
10,0.272618,0.9621,0.615663,0.766667,0.00028
11,0.270129,0.963491,0.578249,0.777778,0.0002759
12,0.259724,0.96975,0.639186,0.755556,0.0002714
13,0.261566,0.966273,0.551499,0.777778,0.0002667
14,0.266,0.963491,0.593362,0.777778,0.0002616
15,0.256662,0.968707,0.857266,0.688889,0.0002562
16,0.250077,0.974965,0.606247,0.738889,0.0002505
17,0.258323,0.969054,0.579915,0.772222,0.0002446
18,0.242024,0.975313,0.766872,0.716667,0.0002384
19,0.235889,0.982962,0.573956,0.794444,0.0002319
20,0.238069,0.977747,0.682626,0.744444,0.0002252
21,0.237811,0.978442,0.568312,0.8,0.0002184
22,0.233172,0.98331,0.744979,0.733333,0.0002113
23,0.228533,0.984701,0.76998,0.705556,0.0002041
24,0.234999,0.981224,0.618292,0.777778,0.0001967
25,0.23431,0.980181,0.633907,0.766667,0.0001892
26,0.22706,0.985744,0.587526,0.772222,0.0001816
27,0.224074,0.985396,0.623257,0.772222,0.0001739
28,0.225843,0.98783,0.610392,0.788889,0.0001661
29,0.225953,0.987135,0.592507,0.75,0.0001583
30,0.22481,0.987483,0.673025,0.755556,0.0001505
31,0.218026,0.990264,0.723785,0.727778,0.0001427
32,0.213854,0.992698,0.639138,0.772222,0.0001349
33,0.222599,0.989917,0.610179,0.766667,0.0001271
34,0.220489,0.988873,0.664037,0.738889,0.0001194
35,0.216732,0.992698,0.608574,0.772222,0.0001118
36,0.212917,0.994437,0.613034,0.783333,0.0001043
37,0.213992,0.994089,0.654432,0.744444,9.69e-05
38,0.217563,0.991655,0.6283,0.783333,8.97e-05
39,0.212737,0.993741,0.601904,0.777778,8.26e-05
40,0.212426,0.993741,0.579927,0.8,7.58e-05
41,0.215668,0.993741,0.594186,0.794444,6.91e-05
42,0.217204,0.99235,0.604411,0.75,6.26e-05
43,0.212744,0.99235,0.616604,0.766667,5.64e-05
44,0.211337,0.994437,0.636221,0.755556,5.05e-05
45,0.212802,0.993741,0.651556,0.744444,4.48e-05
46,0.214115,0.99235,0.613445,0.777778,3.94e-05
47,0.210632,0.995132,0.621982,0.772222,3.43e-05
48,0.209838,0.99548,0.610087,0.777778,2.96e-05
49,0.21252,0.994089,0.611989,0.783333,2.51e-05
50,0.208481,0.996523,0.622216,0.766667,2.1e-05
51,0.209504,0.995132,0.619392,0.772222,1.73e-05
52,0.207484,0.996175,0.609652,0.772222,1.39e-05
53,0.209667,0.994784,0.61359,0.772222,1.09e-05
