epoch,tr_loss,tr_acc,va_loss,va_acc,lr
1,0.570708,0.748566,0.341934,0.846154,0.0002998
2,0.41843,0.881453,0.398439,0.807692,0.0002992
3,0.356447,0.914914,0.452409,0.730769,0.0002982
4,0.335759,0.93021,0.344944,0.846154,0.0002967
5,0.294434,0.951721,0.326406,0.876923,0.0002949
6,0.276482,0.958413,0.322556,0.9,0.0002927
7,0.277116,0.959847,0.336667,0.876923,0.0002901
8,0.262394,0.968929,0.478533,0.746154,0.0002871
9,0.262706,0.968929,0.40943,0.807692,0.0002837
10,0.26031,0.967495,0.362624,0.846154,0.00028
11,0.249324,0.974187,0.306323,0.930769,0.0002759
12,0.264418,0.967495,0.378421,0.823077,0.0002714
13,0.246019,0.975621,0.406372,0.830769,0.0002667
14,0.249299,0.975621,0.408346,0.830769,0.0002616
15,0.247924,0.977055,0.336069,0.869231,0.0002562
16,0.239109,0.980402,0.360323,0.861538,0.0002505
17,0.231437,0.984226,0.425382,0.830769,0.0002446
18,0.229559,0.986138,0.342101,0.892308,0.0002384
19,0.235234,0.979446,0.28577,0.930769,0.0002319
20,0.218242,0.992352,0.318095,0.9,0.0002252
21,0.220032,0.992352,0.284102,0.930769,0.0002184
22,0.231398,0.98566,0.272336,0.946154,0.0002113
23,0.226415,0.988528,0.332303,0.876923,0.0002041
24,0.22127,0.989484,0.312906,0.892308,0.0001967
25,0.229217,0.985182,0.318191,0.9,0.0001892
26,0.218016,0.991874,0.320204,0.9,0.0001816
27,0.227595,0.98566,0.332966,0.892308,0.0001739
28,0.219724,0.99044,0.351827,0.876923,0.0001661
29,0.219992,0.989484,0.280497,0.923077,0.0001583
30,0.219966,0.989484,0.317043,0.915385,0.0001505
31,0.22187,0.98805,0.365572,0.869231,0.0001427
32,0.221731,0.98805,0.336089,0.884615,0.0001349
33,0.220556,0.988528,0.371464,0.869231,0.0001271
34,0.221694,0.986616,0.369953,0.838462,0.0001194
35,0.221068,0.989962,0.299368,0.930769,0.0001118
36,0.217542,0.991396,0.308083,0.907692,0.0001043
37,0.215787,0.989484,0.324759,0.884615,9.69e-05
38,0.215732,0.990918,0.356201,0.869231,8.97e-05
39,0.211392,0.994742,0.328626,0.9,8.26e-05
40,0.208579,0.997132,0.345154,0.876923,7.58e-05
41,0.209121,0.996176,0.344467,0.869231,6.91e-05
42,0.207532,0.996654,0.312632,0.9,6.26e-05
43,0.207782,0.995698,0.304558,0.915385,5.64e-05
44,0.205499,0.998088,0.308418,0.923077,5.05e-05
45,0.206892,0.99761,0.331748,0.869231,4.48e-05
46,0.212084,0.994264,0.273012,0.930769,3.94e-05
47,0.207076,0.996176,0.31593,0.9,3.43e-05
48,0.204287,0.998566,0.328275,0.884615,2.96e-05
49,0.207019,0.996176,0.28635,0.923077,2.51e-05
50,0.20578,0.998566,0.305761,0.915385,2.1e-05
51,0.207202,0.996654,0.304702,0.907692,1.73e-05
52,0.206031,0.996654,0.275208,0.930769,1.39e-05
53,0.211059,0.994264,0.319577,0.9,1.09e-05
54,0.209393,0.993786,0.29892,0.915385,8.3e-06
55,0.208346,0.996654,0.290188,0.923077,6.1e-06
56,0.20805,0.996654,0.307492,0.9,4.3e-06
57,0.204764,0.99761,0.292109,0.923077,2.8e-06
58,0.205429,0.99761,0.283099,0.923077,1.8e-06
59,0.206179,0.99761,0.285032,0.915385,1.2e-06
60,0.207802,0.99522,0.275762,0.915385,1e-06
