epoch,tr_loss,tr_acc,va_loss,va_acc,lr
1,0.679496,0.623703,0.489671,0.788462,0.0002998
2,0.480716,0.828412,0.465389,0.807692,0.0002992
3,0.403139,0.881484,0.454053,0.807692,0.0002982
4,0.362429,0.906624,0.425439,0.871795,0.0002967
5,0.346181,0.916999,0.441401,0.846154,0.0002949
6,0.331713,0.924182,0.381408,0.878205,0.0002927
7,0.311647,0.943735,0.46304,0.814103,0.0002901
8,0.297427,0.946927,0.403844,0.839744,0.0002871
9,0.279472,0.952913,0.342488,0.884615,0.0002837
10,0.264111,0.965682,0.379748,0.891026,0.00028
11,0.280979,0.956105,0.48611,0.801282,0.0002759
12,0.261208,0.968875,0.388428,0.903846,0.0002714
13,0.254582,0.970072,0.385161,0.903846,0.0002667
14,0.26523,0.968476,0.40728,0.846154,0.0002616
15,0.243613,0.978851,0.644768,0.814103,0.0002562
16,0.239483,0.979649,0.335404,0.903846,0.0002505
17,0.25544,0.97087,0.73578,0.775641,0.0002446
18,0.246188,0.977255,0.367289,0.903846,0.0002384
19,0.236062,0.980846,0.409232,0.897436,0.0002319
20,0.24585,0.97925,0.3498,0.897436,0.0002252
21,0.230532,0.98324,0.397383,0.923077,0.0002184
22,0.251286,0.972865,0.359668,0.903846,0.0002113
23,0.239721,0.981245,0.347677,0.903846,0.0002041
24,0.232126,0.983639,0.380991,0.897436,0.0001967
25,0.228988,0.985235,0.392083,0.884615,0.0001892
26,0.231724,0.984038,0.445528,0.878205,0.0001816
27,0.225987,0.984437,0.375061,0.910256,0.0001739
28,0.225431,0.986433,0.365856,0.878205,0.0001661
29,0.223942,0.988029,0.355756,0.916667,0.0001583
30,0.227462,0.986034,0.334231,0.929487,0.0001505
31,0.223756,0.987231,0.328481,0.935897,0.0001427
32,0.219392,0.990822,0.354958,0.923077,0.0001349
33,0.225882,0.988827,0.32328,0.929487,0.0001271
34,0.220545,0.989625,0.488205,0.884615,0.0001194
35,0.216111,0.99162,0.364348,0.942308,0.0001118
36,0.219892,0.989226,0.392912,0.871795,0.0001043
37,0.220346,0.988827,0.423603,0.884615,9.69e-05
38,0.212088,0.995211,0.398805,0.903846,8.97e-05
39,0.209007,0.996808,0.420374,0.897436,8.26e-05
40,0.213109,0.993216,0.378391,0.923077,7.58e-05
41,0.213597,0.992019,0.353478,0.903846,6.91e-05
42,0.216914,0.992019,0.353629,0.910256,6.26e-05
43,0.213873,0.993216,0.355399,0.903846,5.64e-05
44,0.211288,0.994413,0.387827,0.891026,5.05e-05
45,0.211501,0.994413,0.366284,0.891026,4.48e-05
46,0.213548,0.993216,0.359298,0.923077,3.94e-05
47,0.208661,0.995611,0.354512,0.923077,3.43e-05
48,0.208034,0.997207,0.371332,0.910256,2.96e-05
49,0.210594,0.995211,0.363353,0.916667,2.51e-05
50,0.210911,0.995611,0.371213,0.923077,2.1e-05
51,0.208732,0.995611,0.362366,0.923077,1.73e-05
52,0.210637,0.99601,0.341111,0.923077,1.39e-05
53,0.207174,0.997606,0.384062,0.916667,1.09e-05
54,0.206854,0.997606,0.339115,0.923077,8.3e-06
55,0.210846,0.995611,0.339802,0.935897,6.1e-06
56,0.212947,0.993615,0.34076,0.935897,4.3e-06
57,0.210172,0.995211,0.347303,0.923077,2.8e-06
58,0.204973,0.997606,0.339984,0.935897,1.8e-06
59,0.207631,0.997207,0.335628,0.929487,1.2e-06
60,0.211009,0.997606,0.356014,0.929487,1e-06
