epoch,tr_loss,tr_acc,va_loss,va_acc,lr
1,0.663229,0.668772,0.504749,0.775281,0.0002998
2,0.476926,0.830175,0.433867,0.842697,0.0002992
3,0.433871,0.858947,0.461063,0.820225,0.0002982
4,0.372386,0.893333,0.38305,0.893258,0.0002967
5,0.338595,0.917895,0.527856,0.780899,0.0002949
6,0.326286,0.929123,0.428066,0.859551,0.0002927
7,0.295236,0.947018,0.489999,0.831461,0.0002901
8,0.279635,0.959298,0.569154,0.797753,0.0002871
9,0.274225,0.959298,0.450206,0.842697,0.0002837
10,0.285194,0.959649,0.474487,0.853933,0.00028
11,0.265187,0.963509,0.556506,0.797753,0.0002759
12,0.259355,0.969825,0.482192,0.865169,0.0002714
13,0.269037,0.961053,0.541755,0.808989,0.0002667
14,0.256498,0.968772,0.575944,0.769663,0.0002616
15,0.243439,0.977193,0.645113,0.764045,0.0002562
16,0.245349,0.975088,0.465275,0.825843,0.0002505
17,0.241628,0.981404,0.499014,0.842697,0.0002446
18,0.237241,0.981754,0.510217,0.797753,0.0002384
19,0.241784,0.976842,0.426741,0.859551,0.0002319
20,0.233487,0.982105,0.495849,0.837079,0.0002252
21,0.237939,0.981053,0.443366,0.865169,0.0002184
22,0.235605,0.980702,0.443596,0.865169,0.0002113
23,0.229202,0.984561,0.438606,0.870787,0.0002041
24,0.234557,0.981754,0.465951,0.837079,0.0001967
25,0.222176,0.989825,0.586523,0.797753,0.0001892
26,0.229773,0.984912,0.561834,0.803371,0.0001816
27,0.224839,0.989123,0.530258,0.814607,0.0001739
28,0.224914,0.986667,0.670896,0.758427,0.0001661
29,0.227145,0.984912,0.661529,0.764045,0.0001583
30,0.228441,0.985263,0.447313,0.848315,0.0001505
31,0.221265,0.989474,0.560974,0.797753,0.0001427
32,0.229315,0.984912,0.585115,0.780899,0.0001349
33,0.222898,0.989474,0.63723,0.786517,0.0001271
34,0.217382,0.992632,0.543161,0.808989,0.0001194
35,0.216355,0.99193,0.458679,0.853933,0.0001118
36,0.213455,0.993333,0.502112,0.831461,0.0001043
37,0.211682,0.993333,0.504112,0.837079,9.69e-05
38,0.213711,0.992281,0.552269,0.820225,8.97e-05
39,0.213596,0.993684,0.534249,0.831461,8.26e-05
40,0.217084,0.990526,0.628843,0.764045,7.58e-05
41,0.215445,0.991579,0.579378,0.803371,6.91e-05
42,0.211692,0.994386,0.503095,0.837079,6.26e-05
43,0.20911,0.994737,0.564652,0.814607,5.64e-05
44,0.212342,0.995088,0.541406,0.814607,5.05e-05
45,0.212908,0.994035,0.504224,0.825843,4.48e-05
46,0.207654,0.996491,0.524013,0.820225,3.94e-05
47,0.214013,0.994035,0.53075,0.797753,3.43e-05
48,0.212053,0.994386,0.501829,0.853933,2.96e-05
49,0.208306,0.996491,0.510518,0.831461,2.51e-05
50,0.208819,0.99614,0.496766,0.837079,2.1e-05
51,0.205126,0.998596,0.506367,0.848315,1.73e-05
52,0.20873,0.995789,0.508054,0.825843,1.39e-05
53,0.206112,0.997193,0.519035,0.820225,1.09e-05
54,0.210565,0.994737,0.514235,0.831461,8.3e-06
