epoch,tr_loss,tr_f1,va_loss,va_f1,va_exact,va_hamming,lr
1,0.6793,0.4891,0.6736,0.4718,0.0,0.4834,0.00049693
2,0.6589,0.5415,0.6459,0.5308,0.0197,0.4785,0.00048779
3,0.6157,0.6161,0.5829,0.674,0.1023,0.6725,0.00047281
4,0.5773,0.6609,0.5487,0.6617,0.244,0.6697,0.00045235
5,0.5418,0.6996,0.6298,0.5225,0.1695,0.6791,0.00042692
6,0.5116,0.7299,0.5494,0.6025,0.1899,0.6312,0.00039715
7,0.4977,0.7462,0.6361,0.5695,0.1395,0.6711,0.00036377
8,0.4731,0.7567,0.551,0.6231,0.1855,0.666,0.0003276
9,0.4614,0.7667,0.6177,0.5989,0.1855,0.6806,0.00028953
10,0.4453,0.7846,0.5556,0.6845,0.2294,0.7088,0.0002505
11,0.4414,0.7866,0.5677,0.6603,0.1848,0.6877,0.00021147
12,0.4263,0.7939,0.5852,0.6306,0.2118,0.627,0.0001734
13,0.4216,0.8038,0.5838,0.6567,0.1899,0.6863,0.00013723
14,0.4139,0.8073,0.571,0.6431,0.2067,0.6843,0.00010385
15,0.4159,0.8081,0.6145,0.623,0.1812,0.68,7.408e-05
16,0.406,0.8154,0.5546,0.6414,0.1899,0.6711,4.865e-05
17,0.4039,0.8143,0.5585,0.6496,0.2009,0.6646,2.819e-05
18,0.3986,0.8177,0.5675,0.6601,0.2045,0.6757,1.321e-05
19,0.3877,0.8278,0.5682,0.6562,0.1965,0.6845,4.07e-06
20,0.3946,0.8223,0.5642,0.6562,0.2023,0.6809,0.0005
21,0.412,0.8098,0.5859,0.7066,0.2447,0.7346,0.00049923
22,0.4118,0.8114,0.5301,0.6185,0.1848,0.6685,0.00049693
23,0.4043,0.8169,0.5356,0.5832,0.1607,0.6376,0.00049311
24,0.4065,0.8187,0.5931,0.6884,0.2389,0.6779,0.00048779
25,0.3975,0.8226,0.6174,0.6978,0.1994,0.731,0.00048101
26,0.3969,0.8214,0.8414,0.6705,0.2637,0.6159,0.00047281
27,0.3806,0.834,0.6479,0.7056,0.2367,0.7516,0.00046323
28,0.3852,0.8342,0.5792,0.6748,0.2089,0.705,0.00045235
29,0.3718,0.8429,0.5712,0.6425,0.1877,0.6556,0.00044022
30,0.3686,0.8456,0.5457,0.6786,0.2301,0.6728,0.00042692
31,0.369,0.8453,0.6478,0.5706,0.1519,0.6541,0.00041254
32,0.3676,0.8451,0.5637,0.686,0.2148,0.7134,0.00039715
33,0.3572,0.8523,0.6137,0.6464,0.1855,0.7045,0.00038086
34,0.3481,0.861,0.662,0.721,0.2096,0.714,0.00036377
35,0.3452,0.8617,0.5732,0.6536,0.1885,0.6724,0.00034598
36,0.3465,0.8618,0.6203,0.6982,0.1936,0.7097,0.0003276
37,0.3414,0.868,0.6702,0.5931,0.1476,0.6762,0.00030874
38,0.3389,0.8688,0.6076,0.6421,0.1709,0.6855,0.00028953
39,0.3359,0.87,0.7545,0.5777,0.1556,0.6841,0.00027008
40,0.3337,0.8716,0.6785,0.5909,0.1534,0.6741,0.0002505
41,0.3238,0.8755,0.5878,0.6782,0.1987,0.7012,0.00023092
42,0.3269,0.8747,0.5681,0.7064,0.2491,0.7023,0.00021147
43,0.3189,0.8812,0.5856,0.7094,0.2257,0.7409,0.00019226
44,0.3238,0.8806,0.5793,0.7253,0.2323,0.7427,0.0001734
45,0.3166,0.8829,0.6087,0.7203,0.2359,0.7139,0.00015502
46,0.3183,0.883,0.6211,0.6607,0.1928,0.718,0.00013723
47,0.3139,0.8844,0.5951,0.6773,0.1936,0.7205,0.00012014
48,0.3113,0.8849,0.6156,0.6741,0.1928,0.7227,0.00010385
49,0.3035,0.887,0.5768,0.7215,0.2301,0.7475,8.846e-05
50,0.31,0.8872,0.5812,0.7342,0.2308,0.7449,7.408e-05
51,0.3074,0.8886,0.5628,0.7163,0.2257,0.7421,6.078e-05
52,0.2994,0.8905,0.5579,0.7124,0.2155,0.7256,4.865e-05
53,0.3091,0.8895,0.5532,0.7279,0.2454,0.7358,3.777e-05
54,0.3003,0.8919,0.5717,0.7122,0.214,0.7387,2.819e-05
55,0.3012,0.8918,0.5745,0.7084,0.2089,0.7373,1.999e-05
56,0.3056,0.8902,0.5699,0.722,0.2308,0.7435,1.321e-05
57,0.308,0.8906,0.5693,0.7181,0.2257,0.7394,7.89e-06
58,0.2995,0.8937,0.5587,0.7257,0.2396,0.7368,4.07e-06
59,0.3042,0.8905,0.5658,0.7172,0.2235,0.7351,1.77e-06
60,0.3027,0.8923,0.5602,0.7206,0.2301,0.7391,0.0005
61,0.3255,0.8782,0.7931,0.5317,0.1395,0.6641,0.00049981
62,0.3325,0.875,0.6384,0.6654,0.1972,0.7201,0.00049923
63,0.3225,0.8798,0.559,0.7365,0.252,0.7554,0.00049827
64,0.3258,0.8781,0.6398,0.5919,0.1103,0.6779,0.00049693
65,0.3219,0.8833,0.6233,0.6401,0.149,0.7022,0.00049521
66,0.3177,0.8862,0.6809,0.6518,0.1855,0.7123,0.00049311
67,0.3182,0.884,0.6901,0.7116,0.2564,0.6881,0.00049063
68,0.3262,0.8797,0.5995,0.6678,0.1695,0.7047,0.00048779
69,0.3129,0.887,0.6708,0.6949,0.1782,0.7416,0.00048458
70,0.3122,0.8885,0.7748,0.6901,0.1607,0.7196,0.00048101
71,0.3124,0.8905,0.619,0.6681,0.187,0.695,0.00047708
72,0.313,0.8863,0.6303,0.6431,0.1658,0.6633,0.00047281
73,0.3069,0.8942,0.6259,0.7054,0.2067,0.7224,0.00046819
74,0.3037,0.8941,0.5556,0.7227,0.2367,0.7291,0.00046323
75,0.3034,0.8954,0.5724,0.7298,0.244,0.7418,0.00045795
76,0.3022,0.895,0.5904,0.7006,0.2213,0.6993,0.00045235
77,0.3032,0.8927,0.5443,0.7516,0.2747,0.7559,0.00044644
78,0.3008,0.8981,0.6198,0.7315,0.2337,0.7477,0.00044022
79,0.2975,0.8977,0.5823,0.7191,0.225,0.7373,0.00043371
80,0.2969,0.8996,0.6791,0.6738,0.195,0.7291,0.00042692
