rank,f1,exact,window,lr,dropout,loss,mixup,swa,n_train,n_val
1,0.8448,0.449,500,0.001,0.4,focal,0.2,True,4482,668
2,0.8447,0.443,500,0.001,0.6,focal,0.0,True,4482,668
3,0.8435,0.443,500,0.001,0.4,focal,0.0,True,4482,668
4,0.841,0.413,750,0.0005,0.4,focal,0.0,True,2933,441
5,0.8408,0.49,500,0.001,0.5,bce,0.2,True,4482,668
6,0.84,0.481,500,0.001,0.5,focal,0.2,True,4482,668
7,0.8387,0.404,750,0.0005,0.6,focal,0.2,True,2933,441
8,0.8367,0.427,500,0.0003,0.4,focal,0.2,True,4482,668
9,0.8352,0.427,500,0.001,0.4,bce,0.0,True,4482,668
10,0.8352,0.503,750,0.001,0.5,focal,0.0,True,2933,441
11,0.8346,0.442,500,0.0005,0.6,focal,0.2,True,4482,668
12,0.8327,0.429,750,0.001,0.4,focal,0.0,True,2933,441
13,0.8322,0.458,750,0.0005,0.4,bce,0.2,True,2933,441
14,0.8316,0.485,500,0.0005,0.4,bce,0.0,True,4482,668
15,0.8313,0.426,750,0.001,0.4,focal,0.2,True,2933,441
16,0.8303,0.38,500,0.001,0.6,focal,0.2,True,4482,668
17,0.8295,0.489,250,0.001,0.5,focal,0.2,True,9202,1359
18,0.8294,0.467,250,0.001,0.4,bce,0.2,True,9202,1359
19,0.8294,0.443,500,0.0005,0.5,bce,0.2,True,4482,668
20,0.8293,0.481,500,0.0005,0.6,focal,0.0,True,4482,668
21,0.8291,0.391,500,0.001,0.6,bce,0.2,True,4482,668
22,0.8287,0.458,750,0.001,0.4,bce,0.2,True,2933,441
23,0.8287,0.404,500,0.0003,0.6,focal,0.2,True,4482,668
24,0.8283,0.395,750,0.001,0.6,focal,0.0,True,2933,441
25,0.828,0.408,250,0.001,0.5,bce,0.0,True,9202,1359
26,0.8274,0.388,500,0.001,0.5,focal,0.0,True,4482,668
27,0.8274,0.417,750,0.001,0.5,focal,0.2,True,2933,441
28,0.8264,0.458,750,0.0005,0.5,bce,0.2,True,2933,441
29,0.8261,0.458,500,0.0005,0.4,bce,0.2,True,4482,668
30,0.8255,0.351,750,0.001,0.6,focal,0.2,True,2933,441
31,0.8253,0.383,500,0.0005,0.5,bce,0.0,True,4482,668
