segment,start_s,end_s,duration_s,start_unix,end_unix,status,text,label_palm,label_thumb,label_index_tip,label_index_seg,label_middle_tip,label_middle_seg,label_ring_tip,label_ring_seg,label_pinky_tip,label_pinky_seg
1,3.9599375,4.5599375,0.6,1774821798.02073,1774821798.62073,MATCHED,"one two",0,1,1,0,0,0,0,0,0,0
2,18.9899375,19.5599375,0.57,1774821813.05073,1774821813.62073,MATCHED,"One, two.",0,1,1,0,0,0,0,0,0,0
3,39.6599375,40.2899375,0.630000000000003,1774821833.72073,1774821834.35073,MATCHED,"One three.",0,1,0,1,0,0,0,0,0,0
4,52.2899375,52.8899375,0.600000000000001,1774821846.35073,1774821846.95073,MATCHED,"One four.",0,1,0,0,1,0,0,0,0,0
5,63.6299375,64.1699375,0.540000000000006,1774821857.69073,1774821858.23073,MATCHED,"One five.",0,1,0,0,0,1,0,0,0,0
6,73.7399375,74.0399375,0.299999999999997,1774821867.80073,1774821868.10073,MATCHED,"All.",1,1,1,1,1,1,1,1,1,1
7,105.8099375,106.4399375,0.629999999999995,1774821899.87073,1774821900.50073,MATCHED,"No pinky.",1,1,1,1,1,1,1,1,0,0
8,126.5999375,127.4099375,0.810000000000002,1774821920.66073,1774821921.47073,MATCHED,"No index.",1,1,0,0,1,1,1,1,1,1
9,153.8699375,154.4699375,0.599999999999994,1774821947.93073,1774821948.53073,MATCHED,"No thumb.",1,0,1,1,1,1,1,1,1,1
10,184.4399375,184.6799375,0.239999999999981,1774821978.50073,1774821978.74073,MATCHED,"Palm.",1,0,0,0,0,0,0,0,0,0
11,211.4099375,212.4599375,1.04999999999998,1774822005.47073,1774822006.52073,MATCHED,"Almond fingertips,",0,1,1,0,1,0,1,0,1,0
12,236.9099375,237.5999375,0.689999999999998,1774822030.97073,1774822031.66073,MATCHED,"One and four.",0,1,0,0,1,0,0,0,0,0
13,266.4899375,267.0899375,0.600000000000023,1774822060.55073,1774822061.15073,MATCHED,"One and two.",0,1,1,0,0,0,0,0,0,0
14,298.2599375,298.9199375,0.660000000000025,1774822092.32073,1774822092.98073,MATCHED,"One and four.",0,1,0,0,1,0,0,0,0,0
15,311.2499375,312.1799375,0.930000000000007,1774822105.31073,1774822106.24073,MATCHED,"All fingertips.",0,1,1,0,1,0,1,0,1,0
16,344.6099375,345.2099375,0.600000000000023,1774822138.67073,1774822139.27073,MATCHED,"No pinky.",1,1,1,1,1,1,1,1,0,0
17,345.7799375,346.6499375,0.870000000000005,1774822139.84073,1774822140.71073,MATCHED,"All fingertips.",0,1,1,0,1,0,1,0,1,0
18,386.2199375,386.9699375,0.75,1774822180.28073,1774822181.03073,MATCHED,"One, two, four.",0,1,1,0,1,0,0,0,0,0
19,408.8699375,410.4899375,1.62,1774822202.93073,1774822204.55073,MATCHED,"All fingertips and segments.",1,1,1,1,1,1,1,1,1,1
20,419.3999375,421.1399375,1.73999999999995,1774822213.46073,1774822215.20073,MATCHED,"Except thumb and segment.",1,0,1,1,1,1,1,1,1,1
21,446.4299375,448.9799375,2.55000000000001,1774822240.49073,1774822243.04073,MATCHED,"All fingertips and thumb and segments.",1,1,1,1,1,1,1,1,1,1
22,449.4899375,450.5099375,1.01999999999998,1774822243.55073,1774822244.57073,MATCHED,"and thumb segments.",0,1,0,0,0,0,0,0,0,0
23,495.8999375,496.6499375,0.75,1774822289.96073,1774822290.71073,MATCHED,"One, two, four.",0,1,1,0,1,0,0,0,0,0
24,541.1699375,541.6499375,0.480000000000018,1774822335.23073,1774822335.71073,MATCHED,"one two.",0,1,1,0,0,0,0,0,0,0
25,580.5599375,582.4499375,1.88999999999999,1774822374.62073,1774822376.51073,MATCHED,"All fingertips and segments except thumb.",1,0,1,1,1,1,1,1,1,1
26,623.9999375,625.9199375,1.91999999999996,1774822418.06073,1774822419.98073,MATCHED,"No fingertips, except pinky.",0,1,1,0,1,0,1,0,0,0
27,672.2699375,674.1599375,1.88999999999999,1774822466.33073,1774822468.22073,MATCHED,"All fingertips and segments except thumb.",1,0,1,1,1,1,1,1,1,1
28,739.5599375,740.7899375,1.2299999999999,1774822533.62073,1774822534.85073,MATCHED,"All fingers and segments.",1,1,1,1,1,1,1,1,1,1
29,744.8099375,745.1999375,0.389999999999986,1774822538.87073,1774822539.26073,MATCHED,"And pause.",1,0,0,0,0,0,0,0,0,0
30,807.8399375,809.0699375,1.23000000000002,1774822601.90073,1774822603.13073,MATCHED,"Parts of hand except thumb.",1,0,1,1,1,1,1,1,1,1
